ORDRE;NOMPOSTE;RHO_p
1;Auto 7h;1
2;Dech 12h45;1
3;Lav-cond-7h;1
4;Cond 2- 10h30;1
5;R-RTT;0
6;Dech 10h30;1
7;Cond 12h45;1
8;Dech 7h;1
9;R;0
10;Lav2-Rc-10h30;1
11;Cond-2- 7h;1
12;Sté 10h30;1
13;R;0
14;Lav 1- 7h;1
15;Auto 12h45;1
16;Cond-1- 7h;1
17;R;0
18;Cond 1- 10h30;1
19;Lav 2- 7h;1
20;R;0
21;R-7h;0
22;Sté 12h45;1
23;Sté 7h;1
24;Lav 1- 10h30;1
